1,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar ,7.9
2,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End ,7.1
3,Sam Mendes,Action|Adventure|Thriller,Spectre ,6.8
4,Christopher Nolan,Action|Thriller,The Dark Knight Rises ,8.5
5,Doug Walker,Documentary,Star Wars: Episode VII - The Force Awakens             ,7.1
6,Andrew Stanton,Action|Adventure|Sci-Fi,John Carter ,6.6
7,Sam Raimi,Action|Adventure|Romance,Spider-Man 3 ,6.2
8,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,7.8
9,Joss Whedon,Action|Adventure|Sci-Fi,Avengers: Age of Ultron ,7.5
10,David Yates,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince ,7.5
11,Zack Snyder,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice ,6.9
12,Bryan Singer,Action|Adventure|Sci-Fi,Superman Returns ,6.1
13,Marc Forster,Action|Adventure,Quantum of Solace ,6.7
14,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest ,7.3
15,Gore Verbinski,Action|Adventure|Western,The Lone Ranger ,6.5
16,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,Man of Steel ,7.2
17,Andrew Adamson,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian ,6.6
18,Joss Whedon,Action|Adventure|Sci-Fi,The Avengers ,8.1
19,Rob Marshall,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides ,6.7
20,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3 ,6.8
21,Peter Jackson,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,7.5
22,Marc Webb,Action|Adventure|Fantasy,The Amazing Spider-Man ,7
23,Ridley Scott,Action|Adventure|Drama|History,Robin Hood ,6.7
24,Peter Jackson,Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,7.9
25,Chris Weitz,Adventure|Family|Fantasy,The Golden Compass ,6.1
26,Peter Jackson,Action|Adventure|Drama|Romance,King Kong ,7.2
27,James Cameron,Drama|Romance,Titanic ,7.7
28,Anthony Russo,Action|Adventure|Sci-Fi,Captain America: Civil War ,8.2
29,Peter Berg,Action|Adventure|Sci-Fi|Thriller,Battleship ,5.9
30,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,Jurassic World ,7
31,Sam Mendes,Action|Adventure|Thriller,Skyfall ,7.8
32,Sam Raimi,Action|Adventure|Fantasy|Romance,Spider-Man 2 ,7.3
33,Shane Black,Action|Adventure|Sci-Fi,Iron Man 3 ,7.2
34,Tim Burton,Adventure|Family|Fantasy,Alice in Wonderland ,6.5
